
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000306                       # Number of seconds simulated (Second)
simTicks                                    306191000                       # Number of ticks simulated (Tick)
finalTick                                   306191000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      1.22                       # Real time elapsed on the host (Second)
hostTickRate                                251665752                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8531728                       # Number of bytes of host memory used (Byte)
simInsts                                       639649                       # Number of instructions simulated (Count)
simOps                                         639987                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   525679                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     525952                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                           306193                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.478689                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.089039                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          691114                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     2326                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         667311                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   2659                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                53452                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             44516                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  47                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              289840                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.302343                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.928871                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                     74301     25.64%     25.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     43219     14.91%     40.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     46036     15.88%     56.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     38378     13.24%     69.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     43769     15.10%     84.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     25886      8.93%     93.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     15437      5.33%     99.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      2754      0.95%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                        60      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                289840                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   27421     31.53%     31.53% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     31.53% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     31.53% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                  1425      1.64%     33.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                   293      0.34%     33.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                   492      0.57%     34.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     34.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     34.07% # attempts to use FU when none available (Count)
