class,count,pct
FloatAdd,0,0.000000
FloatCmp,0,0.000000
FloatCvt,0,0.000000
FloatDiv,0,0.000000
FloatMemRead,0,0.000000
FloatMemWrite,12,0.000006
FloatMisc,0,0.000000
FloatMult,0,0.000000
FloatMultAcc,0,0.000000
FloatSqrt,0,0.000000
InstPrefetch,0,0.000000
IntAlu,131522668,64.499166
IntDiv,4512,0.002213
IntMult,7593703,3.723978
IprAccess,0,0.000000
Matrix,0,0.000000
MatrixMov,0,0.000000
MatrixOP,0,0.000000
MemRead,45353485,22.241504
MemWrite,19439280,9.533089
No_OpClass,91,0.000045
SimdAdd,0,0.000000
SimdAddAcc,0,0.000000
SimdAes,0,0.000000
SimdAesMix,0,0.000000
SimdAlu,0,0.000000
SimdCmp,0,0.000000
SimdCvt,0,0.000000
SimdDiv,0,0.000000
SimdFloatAdd,0,0.000000
SimdFloatAlu,0,0.000000
SimdFloatCmp,0,0.000000
SimdFloatCvt,0,0.000000
SimdFloatDiv,0,0.000000
SimdFloatMatMultAcc,0,0.000000
SimdFloatMisc,0,0.000000
SimdFloatMult,0,0.000000
SimdFloatMultAcc,0,0.000000
SimdFloatReduceAdd,0,0.000000
SimdFloatReduceCmp,0,0.000000
SimdFloatSqrt,0,0.000000
SimdMatMultAcc,0,0.000000
SimdMisc,0,0.000000
SimdMult,0,0.000000
SimdMultAcc,0,0.000000
SimdPredAlu,0,0.000000
SimdReduceAdd,0,0.000000
SimdReduceAlu,0,0.000000
SimdReduceCmp,0,0.000000
SimdSha1Hash,0,0.000000
SimdSha1Hash2,0,0.000000
SimdSha256Hash,0,0.000000
SimdSha256Hash2,0,0.000000
SimdShaSigma2,0,0.000000
SimdShaSigma3,0,0.000000
SimdShift,0,0.000000
SimdShiftAcc,0,0.000000
SimdSqrt,0,0.000000
VectorConfig,0,0.000000
VectorFloatArith,0,0.000000
VectorFloatConvert,0,0.000000
VectorFloatReduce,0,0.000000
VectorIndexedLoad,0,0.000000
VectorIndexedStore,0,0.000000
VectorIntegerArith,0,0.000000
VectorIntegerExtension,0,0.000000
VectorIntegerReduce,0,0.000000
VectorMisc,0,0.000000
VectorStridedLoad,0,0.000000
VectorStridedStore,0,0.000000
VectorUnitStrideFaultOnlyFirstLoad,0,0.000000
VectorUnitStrideLoad,0,0.000000
VectorUnitStrideMaskLoad,0,0.000000
VectorUnitStrideMaskStore,0,0.000000
VectorUnitStrideStore,0,0.000000
VectorWholeRegisterLoad,0,0.000000
VectorWholeRegisterStore,0,0.000000
