arch,question,workload,l1_kB,simSeconds,simInsts,numCycles,ipc,cpi,icache_miss,dcache_miss,l2_miss,bp_condPred,bp_condIncorrect,bp_condMispredRate,commit_branchMispredicts,outdir
a7,Q4,dijkstra_large,1,0.439739,203913694,879477155,0.231858,4.312987,0.046418,0.235547,0.000280,43809972,449765,0.010266,369785,/home/josedanielchg/Projects/architecture-microprocesseurs/ES201-TP/TP4/Projet/q45_m5out/m5out_Q4_a7_dijkstra_large_l1_1kB
a7,Q4,blowfish_large,1,0.026174,13189509,52348325,0.251957,3.968937,0.298339,0.181680,0.002570,838430,20687,0.024673,18441,/home/josedanielchg/Projects/architecture-microprocesseurs/ES201-TP/TP4/Projet/q45_m5out/m5out_Q4_a7_blowfish_large_l1_1kB
a7,Q4,dijkstra_large,2,0.425875,203913694,851749948,0.239406,4.177012,0.037714,0.196325,0.000333,43800615,449765,0.010268,369785,/home/josedanielchg/Projects/architecture-microprocesseurs/ES201-TP/TP4/Projet/q45_m5out/m5out_Q4_a7_dijkstra_large_l1_2kB
a7,Q4,blowfish_large,2,0.025568,13189509,51135626,0.257932,3.876992,0.128580,0.147473,0.003898,840380,20688,0.024617,18441,/home/josedanielchg/Projects/architecture-microprocesseurs/ES201-TP/TP4/Projet/q45_m5out/m5out_Q4_a7_blowfish_large_l1_2kB
a7,Q4,dijkstra_large,4,0.407989,203913694,815977473,0.249901,4.001583,0.017283,0.152747,0.000445,43813008,449766,0.010266,369785,/home/josedanielchg/Projects/architecture-microprocesseurs/ES201-TP/TP4/Projet/q45_m5out/m5out_Q4_a7_dijkstra_large_l1_4kB
a7,Q4,blowfish_large,4,0.024408,13189509,48816537,0.270185,3.701164,0.024657,0.096718,0.007233,840421,20687,0.024615,18441,/home/josedanielchg/Projects/architecture-microprocesseurs/ES201-TP/TP4/Projet/q45_m5out/m5out_Q4_a7_blowfish_large_l1_4kB
a7,Q4,dijkstra_large,8,0.375634,203913694,751268042,0.271426,3.684245,0.002980,0.079314,0.000903,43826180,449771,0.010263,369785,/home/josedanielchg/Projects/architecture-microprocesseurs/ES201-TP/TP4/Projet/q45_m5out/m5out_Q4_a7_dijkstra_large_l1_8kB
a7,Q4,blowfish_large,8,0.022235,13189509,44469638,0.296596,3.371592,0.000666,0.018584,0.043697,840445,20687,0.024614,18441,/home/josedanielchg/Projects/architecture-microprocesseurs/ES201-TP/TP4/Projet/q45_m5out/m5out_Q4_a7_blowfish_large_l1_8kB
a7,Q4,dijkstra_large,16,0.365786,203913694,731572580,0.278733,3.587658,0.001091,0.056496,0.001294,43826524,449771,0.010263,369785,/home/josedanielchg/Projects/architecture-microprocesseurs/ES201-TP/TP4/Projet/q45_m5out/m5out_Q4_a7_dijkstra_large_l1_16kB
a7,Q4,blowfish_large,16,0.022125,13189509,44249366,0.298072,3.354891,0.000537,0.014353,0.057827,840454,20687,0.024614,18441,/home/josedanielchg/Projects/architecture-microprocesseurs/ES201-TP/TP4/Projet/q45_m5out/m5out_Q4_a7_blowfish_large_l1_16kB
