arch,l1_kB,l1_block,l1_assoc,l1_data_mm2,l1_tag_mm2,l1_one_mm2,l1_total_mm2,l2_data_mm2,l2_tag_mm2,l2_one_mm2,core_wo_l1_mm2,total_core_l1_l2_mm2,cfg_l1,cfg_l2,out_l1,out_l2
a7,1,32,2,0.00379037,0.000466222,0.0042566,0.0085132,0.344691,0.101027,0.4457180,0.3731364,0.8273676,TP4/Projet/q8_cacti/cache_a7_L1_1kB_32nm.cfg,TP4/Projet/q8_cacti/cache_a7_L2_512kB_32nm.cfg,TP4/Projet/q8_cacti/result_a7_L1_1kB_32nm.txt,TP4/Projet/q8_cacti/result_a7_L2_512kB_32nm.txt
a7,2,32,2,0.00964784,0.00077853,0.0104264,0.0208528,0.344691,0.101027,0.4457180,0.3731364,0.8397072,TP4/Projet/q8_cacti/cache_a7_L1_2kB_32nm.cfg,TP4/Projet/q8_cacti/cache_a7_L2_512kB_32nm.cfg,TP4/Projet/q8_cacti/result_a7_L1_2kB_32nm.txt,TP4/Projet/q8_cacti/result_a7_L2_512kB_32nm.txt
a7,4,32,2,0.00440128,0.00127867,0.0056799,0.0113598,0.344691,0.101027,0.4457180,0.3731364,0.8302142,TP4/Projet/q8_cacti/cache_a7_L1_4kB_32nm.cfg,TP4/Projet/q8_cacti/cache_a7_L2_512kB_32nm.cfg,TP4/Projet/q8_cacti/result_a7_L1_4kB_32nm.txt,TP4/Projet/q8_cacti/result_a7_L2_512kB_32nm.txt
a7,8,32,2,0.010506,0.0023357,0.0128417,0.0256834,0.344691,0.101027,0.4457180,0.3731364,0.8445378,TP4/Projet/q8_cacti/cache_a7_L1_8kB_32nm.cfg,TP4/Projet/q8_cacti/cache_a7_L2_512kB_32nm.cfg,TP4/Projet/q8_cacti/result_a7_L1_8kB_32nm.txt,TP4/Projet/q8_cacti/result_a7_L2_512kB_32nm.txt
a7,16,32,2,0.0117623,0.00444115,0.0162035,0.0324070,0.344691,0.101027,0.4457180,0.3731364,0.8512614,TP4/Projet/q8_cacti/cache_a7_L1_16kB_32nm.cfg,TP4/Projet/q8_cacti/cache_a7_L2_512kB_32nm.cfg,TP4/Projet/q8_cacti/result_a7_L1_16kB_32nm.txt,TP4/Projet/q8_cacti/result_a7_L2_512kB_32nm.txt
a15,2,64,2,0.00964784,0.000466222,0.0101141,0.0202282,0.346438,0.0530514,0.3994894,1.9308701,2.3505877,TP4/Projet/q8_cacti/cache_a15_L1_2kB_32nm.cfg,TP4/Projet/q8_cacti/cache_a15_L2_512kB_32nm.cfg,TP4/Projet/q8_cacti/result_a15_L1_2kB_32nm.txt,TP4/Projet/q8_cacti/result_a15_L2_512kB_32nm.txt
a15,4,64,2,0.00440128,0.00071465,0.0051159,0.0102318,0.346438,0.0530514,0.3994894,1.9308701,2.3405913,TP4/Projet/q8_cacti/cache_a15_L1_4kB_32nm.cfg,TP4/Projet/q8_cacti/cache_a15_L2_512kB_32nm.cfg,TP4/Projet/q8_cacti/result_a15_L1_4kB_32nm.txt,TP4/Projet/q8_cacti/result_a15_L2_512kB_32nm.txt
a15,8,64,2,0.010506,0.00127867,0.0117847,0.0235694,0.346438,0.0530514,0.3994894,1.9308701,2.3539289,TP4/Projet/q8_cacti/cache_a15_L1_8kB_32nm.cfg,TP4/Projet/q8_cacti/cache_a15_L2_512kB_32nm.cfg,TP4/Projet/q8_cacti/result_a15_L1_8kB_32nm.txt,TP4/Projet/q8_cacti/result_a15_L2_512kB_32nm.txt
a15,16,64,2,0.0117623,0.0023357,0.0140980,0.0281960,0.346438,0.0530514,0.3994894,1.9308701,2.3585555,TP4/Projet/q8_cacti/cache_a15_L1_16kB_32nm.cfg,TP4/Projet/q8_cacti/cache_a15_L2_512kB_32nm.cfg,TP4/Projet/q8_cacti/result_a15_L1_16kB_32nm.txt,TP4/Projet/q8_cacti/result_a15_L2_512kB_32nm.txt
a15,32,64,2,0.0301238,0.00444115,0.0345649,0.0691298,0.346438,0.0530514,0.3994894,1.9308701,2.3994893,TP4/Projet/q8_cacti/cache_a15_L1_32kB_32nm.cfg,TP4/Projet/q8_cacti/cache_a15_L2_512kB_32nm.cfg,TP4/Projet/q8_cacti/result_a15_L1_32kB_32nm.txt,TP4/Projet/q8_cacti/result_a15_L2_512kB_32nm.txt
