arch,workload,l1_kB,ipc,surface_mm2,eff_ipc_per_mm2
a15,blowfish_large,2,1.060149,2.3505877,0.4510144
a15,blowfish_large,4,1.134343,2.3405913,0.4846395
a15,blowfish_large,8,1.359661,2.3539289,0.5776135
a15,blowfish_large,16,1.390119,2.3585555,0.5893942
a15,blowfish_large,32,1.497467,2.3994893,0.6240774
a15,dijkstra_large,2,0.654236,2.3505877,0.2783287
a15,dijkstra_large,4,0.716546,2.3405913,0.3061389
a15,dijkstra_large,8,0.901382,2.3539289,0.3829266
a15,dijkstra_large,16,0.981770,2.3585555,0.4162590
a15,dijkstra_large,32,1.141754,2.3994893,0.4758321
a7,blowfish_large,1,0.251957,0.8273676,0.3045285
a7,blowfish_large,2,0.257932,0.8397072,0.3071690
a7,blowfish_large,4,0.270185,0.8302142,0.3254401
a7,blowfish_large,8,0.296596,0.8445378,0.3511933
a7,blowfish_large,16,0.298072,0.8512614,0.3501533
a7,dijkstra_large,1,0.231858,0.8273676,0.2802358
a7,dijkstra_large,2,0.239406,0.8397072,0.2851065
a7,dijkstra_large,4,0.249901,0.8302142,0.3010079
a7,dijkstra_large,8,0.271426,0.8445378,0.3213900
a7,dijkstra_large,16,0.278733,0.8512614,0.3274353
