threads,width,ipc_max_cpu,cycles_max_cpu,insts_max_cpu,sim_ticks,sim_seconds,run_dir,status
1,2,,,,8130212000,0.008130,/workspace/TP5/CORTEXA15/results/m128/w2_t1,OK
2,2,1.871782,8292682,15166137,4146340500,0.004146,/workspace/TP5/CORTEXA15/results/m128/w2_t2,OK
4,2,1.807081,4493355,7789100,2246677000,0.002247,/workspace/TP5/CORTEXA15/results/m128/w2_t4,OK
8,2,,,,,,/workspace/TP5/CORTEXA15/results/m128/w2_t8,FAIL
16,2,,,,,,/workspace/TP5/CORTEXA15/results/m128/w2_t16,FAIL
32,2,0.468555,2918550,1338205,1459274500,0.001459,/workspace/TP5/CORTEXA15/results/m128/w2_t32,OK
64,2,0.314265,2805332,881618,1402665500,0.001403,/workspace/TP5/CORTEXA15/results/m128/w2_t64,OK
128,2,,,,,,/workspace/TP5/CORTEXA15/results/m128/w2_t128,FAIL
1,4,,,,7229292500,0.007229,/workspace/TP5/CORTEXA15/results/m128/w4_t1,OK
2,4,2.218795,7058008,15166624,3529003500,0.003529,/workspace/TP5/CORTEXA15/results/m128/w4_t2,OK
4,4,1.977961,4139440,7788713,2069719500,0.002070,/workspace/TP5/CORTEXA15/results/m128/w4_t4,OK
8,4,1.437325,3202980,4101352,1601489500,0.001601,/workspace/TP5/CORTEXA15/results/m128/w4_t8,OK
16,4,0.849159,2978819,2258180,1489409000,0.001489,/workspace/TP5/CORTEXA15/results/m128/w4_t16,OK
32,4,0.516483,2890473,1338295,1445236000,0.001445,/workspace/TP5/CORTEXA15/results/m128/w4_t32,OK
64,4,,,,,,/workspace/TP5/CORTEXA15/results/m128/w4_t64,FAIL
128,4,,,,,,/workspace/TP5/CORTEXA15/results/m128/w4_t128,FAIL
1,8,,,,7214764000,0.007215,/workspace/TP5/CORTEXA15/results/m128/w8_t1,OK
2,8,2.244788,6980957,15166624,3490478000,0.003490,/workspace/TP5/CORTEXA15/results/m128/w8_t2,OK
4,8,1.979324,4136693,7788720,2068346000,0.002068,/workspace/TP5/CORTEXA15/results/m128/w8_t4,OK
8,8,1.476444,3211012,4142778,1605505500,0.001606,/workspace/TP5/CORTEXA15/results/m128/w8_t8,OK
16,8,0.895454,2979155,2306598,1489577000,0.001490,/workspace/TP5/CORTEXA15/results/m128/w8_t16,OK
32,8,,,,,,/workspace/TP5/CORTEXA15/results/m128/w8_t32,FAIL
64,8,0.338429,2806253,881633,1403126000,0.001403,/workspace/TP5/CORTEXA15/results/m128/w8_t64,OK
128,8,,,,,,/workspace/TP5/CORTEXA15/results/m128/w8_t128,FAIL
